time,GHB_2_6_10,GHB_3_6_10,ESTUARY2,ESTUARY3
3.416666666667,-266.4137628945754,-5628.711331657167,-2517.114326647454,-65793.45356698117
3.500000000000,-288.9982969833003,-6552.524670487473,-2856.428556712636,-79651.32360242686
3.583333333333,-307.9354763697156,-7053.623883266861,-3141.261141030495,-87171.31904526641
3.666666666667,-304.9340541879700,-6634.958601509301,-3096.560803760582,-80892.47484608655
3.750000000000,-281.1517798818660,-5627.810708273602,-2739.397807034702,-65780.75535621800
3.833333333333,-259.6033953664346,-5025.452330729509,-2415.438521136914,-56737.49649400724
3.916666666667,-260.5493443375223,-5393.278145820443,-2429.325537544880,-62249.14970775127
4.000000000000,-282.4407976730170,-6359.877692789985,-2758.139984873505,-76748.00297224126
4.083333333333,-303.5287840867587,-6978.707209708235,-3075.241006740506,-86033.92034386068
4.166666666667,-304.5549228454329,-6707.141938231091,-3091.057842206229,-81962.37774713033
4.250000000000,-284.7561974029488,-5807.685072906377,-2793.795260437661,-68467.32446510679
4.333333333333,-264.3941853511107,-5189.116657974126,-2487.728340625241,-59181.99393975923
4.416666666667,-262.1971133752739,-5396.807047441300,-2454.433849123452,-62291.72445955037
4.500000000000,-282.2297389121267,-6312.910505696864,-2755.295856472284,-76032.78770969358
4.583333333333,-304.0531379769810,-6988.113235507852,-3083.409305438680,-86164.22186663334
4.666666666667,-308.5302315518497,-6852.790902922587,-3151.066408176882,-84136.95672986039
4.750000000000,-288.7340661947187,-5913.264139714960,-2853.879921252511,-70041.37245359503
4.833333333333,-264.2680253017387,-5119.780211664416,-2486.165262992175,-58131.93374737238
4.916666666667,-257.7034062874657,-5198.322201726429,-2387.201934063683,-59303.38443208332
5.000000000000,-275.2917613407395,-6083.141770413410,-2651.262811314652,-72574.08917064630
5.083333333333,-298.7720679708893,-6875.242813697680,-3004.205394746198,-84458.65169454592
5.166666666667,-306.7557462300182,-6878.110149238567,-3124.538328958844,-84504.75489262807
5.250000000000,-291.5557865732740,-6080.931225899229,-2896.444405371338,-72545.63527441195
5.333333333333,-269.2992757033543,-5308.322578337842,-2561.996236400422,-60950.58674982253
5.416666666667,-260.3137667113467,-5242.556840709756,-2426.713590248065,-59957.80861001746
5.500000000000,-275.2420901546708,-6032.662514239304,-2650.797434329664,-71807.51885244777
5.583333333333,-298.6298626009119,-6853.479503389429,-3002.309047064529,-84122.60540615258
5.666666666667,-309.8175530132995,-6993.779502384406,-3170.760269953022,-86230.68565741902
5.750000000000,-296.3002866258080,-6229.289916190657,-2967.977642662456,-74762.62582761439
5.833333333333,-270.6552551300807,-5292.521261813693,-2582.650010490040,-60705.09250570266
5.916666666667,-256.7907706858878,-5063.526799717957,-2374.031250529176,-57262.92446708556
6.000000000000,-268.4579502695258,-5791.151497222272,-2549.041433729783,-68174.21035859924
6.083333333333,-292.5288424437708,-6699.861931038945,-2910.742899364572,-81807.07975305073
6.166666666667,-307.2751835467767,-6994.852416687254,-3132.637531396384,-86235.84889010225
6.250000000000,-297.7355392167993,-6352.675057820599,-2989.649473001694,-76603.48855313106
6.333333333333,-275.3936886102205,-5489.250022289793,-2654.011348275129,-63647.39031420929
6.416666666667,-260.2177525235318,-5150.154377974317,-2425.753374240446,-58554.30330220579
6.500000000000,-269.0859274964428,-5761.746892636098,-2558.718472639820,-67724.92038210553
6.583333333333,-292.2224739759775,-6662.277557956006,-2906.347856464447,-81234.76420144434
6.666666666667,-309.2481529526191,-7066.447527090550,-3162.460773096813,-87301.44620764257
6.750000000000,-302.5666911327726,-6516.676865238876,-3062.430977493844,-79055.91876126046
6.833333333333,-277.8068953546893,-5517.963505490580,-2690.505464625382,-64070.61175139280
6.916666666667,-258.1409046760880,-5016.850171117180,-2394.771536200394,-56546.49767619473
7.000000000000,-262.8535334670077,-5521.272406413383,-2465.237526419147,-64108.30154703769
7.083333333333,-285.8203462221732,-6483.054475392068,-2810.236510267009,-78536.09165262937
7.166666666667,-305.3472450593915,-7012.124624962222,-3103.892013570791,-86476.28774374421
7.250000000000,-302.8234276664942,-6608.272577821031,-3066.342445134523,-80420.38481206079
7.333333333333,-281.7738689416127,-5702.649106323159,-2750.216340808649,-66832.70026242951
7.416666666667,-262.7013458192939,-5163.645337609005,-2463.465553729106,-58741.18091406598
7.500000000000,-264.0203216211984,-5505.406147608255,-2482.976489593021,-63863.04336860127
7.583333333333,-285.5887638762366,-6440.207405221930,-2806.934468186012,-77885.78430758146
7.666666666667,-306.1999034576191,-7035.929964597721,-3116.848096789208,-86825.75622226788
7.750000000000,-307.2839219180283,-6769.480626560939,-3133.503096978984,-82831.58967503785
7.833333333333,-285.2319783836944,-5780.617908605410,-2802.360249562689,-67995.68249230405
7.916666666667,-261.9736102455188,-5074.069964040909,-2452.723152678588,-57390.47707988063
8.000000000000,-258.8611277081555,-5288.449052357790,-2405.601239120422,-60600.44679480582
8.083333333333,-278.8341826402152,-6227.912884167854,-2705.510697396795,-74692.09317172565
8.166666666667,-301.3390816660338,-6940.861535682754,-3043.823050357511,-85390.19988500573
8.250000000000,-306.1274107988517,-6814.805285874128,-3116.132837694832,-83502.52912016721
8.333333333333,-288.4358666371602,-5954.574111560762,-2850.546265384432,-70597.33378155508
8.416666666667,-266.9270073905458,-5251.841768664448,-2527.264653145694,-60050.51625860188
8.500000000000,-261.0719100618942,-5314.791805130975,-2438.985118001177,-60989.29178916127
8.583333333333,-278.6492483394256,-6175.553629322455,-2702.883825077365,-73900.06134904547
8.666666666667,-301.5109253398512,-6933.795758656435,-3046.518146111419,-85277.39290211810
8.750000000000,-309.5107681214183,-6939.999178400850,-3167.066363092255,-85374.12645816310
8.833333333333,-292.9792599382233,-6090.006434934461,-2918.942408419241,-72623.13374263266
8.916666666667,-267.5519403223098,-5207.655600648121,-2536.815219129694,-59381.77677368819
9.000000000000,-257.1983202236179,-5130.351683854308,-2380.908216059847,-58215.71782307795
9.083333333333,-271.6500845515728,-5932.224740743599,-2597.765576751063,-70242.02337766756
9.166666666667,-295.7372472889793,-6797.871759337128,-2959.733056805865,-83230.06469743009
9.250000000000,-307.3702839288427,-6954.695875175381,-3134.844399443171,-85586.73188947896
9.333333333333,-295.0848710166041,-6234.365659113026,-2950.544501696257,-74782.02738655178
9.416666666667,-272.5844779401883,-5406.006541251627,-2612.450449737964,-62352.08324475649
9.500000000000,-260.0839251826733,-5188.414636632301,-2424.340509408537,-59082.42039011599
9.583333333333,-271.9883672698169,-5894.762235779786,-2602.921270879865,-69675.78142784999
9.666666666667,-295.4006357571044,-6762.952171257444,-2954.713603626366,-82701.77050580343
9.750000000000,-309.9713050673183,-7052.344346855048,-3173.936650660080,-87047.38623718888
9.833333333333,-299.9001227609201,-6390.498863908933,-3022.929519888693,-77120.72025957220
9.916666666667,-274.5217101430821,-5413.512902263064,-2641.631471528588,-62461.41873965822
10.00000000000,-257.2719060530812,-5030.431493016576,-2382.143808322798,-56708.56176139227
10.08333333333,-265.4750746561760,-5652.885182074524,-2505.044429364368,-66042.28640193907
10.16666666667,-289.1424115019006,-6595.697652187982,-2860.592033251201,-80186.90530902155
10.25000000000,-306.7178361289051,-7023.963623189247,-3124.929635877432,-86615.81581300628
10.33333333333,-300.6784190843916,-6495.148818503689,-3034.520430246614,-78685.55774172276
10.41666666667,-278.8557135302800,-5603.850733620576,-2706.702020077492,-65312.88508868794
10.50000000000,-261.3452936162173,-5150.261269872841,-2443.364312255148,-58503.23624135917
10.58333333333,-266.3725847524013,-5628.956137083731,-2518.570733251140,-65680.51161467427
10.66666666667,-288.8738887003749,-6554.720290243607,-2856.566457795397,-79569.10057018083
10.75000000000,-308.0035164450229,-7065.992980430038,-3144.225447281928,-87243.21971190731
10.83333333333,-305.4466665549835,-6663.481152417803,-3106.145579928187,-81208.27154787834
10.91666666667,-281.8071574501481,-5656.266572000051,-2751.075493923414,-66097.12067896416
11.00000000000,-260.0608179704303,-5042.432570332567,-2424.089355668903,-56883.20085239479
11.08333333333,-260.4415520997225,-5359.787157300840,-2430.676825733955,-61976.01516847579
11.16666666667,-282.0451830140079,-6296.743494449058,-2756.281416398621,-76306.07170516855
11.25000000000,-303.2179309389343,-6908.500211600996,-3075.324369172286,-85644.90457532005
11.33333333333,-304.6029935109872,-6642.570395972347,-3096.870777790220,-81741.92899136194
11.41666666667,-284.9633322277546,-5739.993997888266,-2802.151091521398,-68244.66185882420
11.50000000000,-264.4493695916630,-5108.928090911179,-2493.856038552477,-58796.51018229336
11.58333333333,-261.8430700839646,-5298.961240282384,-2454.413508250034,-61655.79941188922
